date,Data da coleta,interval,NDVI_median,NDCI_median,B1_median,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8_median,B8A_median,B9_median,B11_median,B12_median,Resultado
2021-05-12,2021-05-13,176,-0.6294896030245746,-0.0571791613722999,0.0174,0.0347,0.0522,0.0415,0.0372,0.0101,0.0114,0.0097,0.0058,0.0001,0.0044,0.0037,6997
2021-06-11,2021-06-10,182,-0.5344376634699215,-0.0505747126436781,0.0543,0.0658,0.0831,0.0923,0.0841,0.037,0.0354,0.0276,0.0187,0.0051,0.007,0.0064,1529
2021-06-13,2021-06-10,182,-0.6367763904653803,-0.0708301599390708,0.0263,0.0359,0.0621,0.0707,0.0613,0.0204,0.0207,0.016,0.01,0.0001,0.0025,0.0029,1529
2021-07-16,2021-07-14,189,-0.4317617866004962,-0.025712300208478,0.0504,0.05,0.0645,0.0709,0.0673,0.034,0.0313,0.0282,0.0198,0.0105,0.007,0.0059,0
2021-07-18,2021-07-14,189,-0.5061475409836067,-0.0583153347732182,0.024,0.0421,0.0624,0.0735,0.0651,0.0271,0.0268,0.0242,0.0169,0.0053,0.0085,0.0079,0
2021-08-22,2021-08-19,196,-0.3221957040572792,-0.0304915992532669,0.0661,0.0683,0.0865,0.0829,0.0784,0.0508,0.0486,0.0422,0.0366,0.0404,0.016,0.0129,1664
2021-10-06,2021-10-06,205,-0.4695121951219513,-0.0517529215358931,0.0719,0.0827,0.1103,0.1256,0.1128,0.0553,0.0558,0.0455,0.0354,0.0245,0.0138,0.0114,594
2021-11-13,2021-11-15,213,-0.2310737258782781,-0.0306513409961686,0.0788,0.106,0.1317,0.1305,0.1225,0.0791,0.0762,0.0816,0.065,0.059,0.0609,0.0517,1836
2021-12-10,2021-12-09,218,-0.4205186020293123,-0.0268199233716475,0.0376,0.0457,0.0675,0.0621,0.0584,0.0267,0.0267,0.0254,0.0203,0.0164,0.0179,0.0163,8323
2021-12-20,2021-12-17,220,-0.6372712146422629,-0.0620067643742953,0.0286,0.0339,0.056,0.0479,0.0422,0.0131,0.0135,0.0105,0.008,0.0023,0.0061,0.0066,9667
2021-12-28,2021-12-29,222,-0.2634146341463415,-0.0427480916030533,0.0555,0.0729,0.0885,0.0801,0.0733,0.0437,0.0432,0.0457,0.0378,0.0353,0.0381,0.0336,2772
2021-12-30,2021-12-29,222,-0.5681818181818182,-0.0433905146316851,0.0336,0.0401,0.0624,0.0497,0.0457,0.0166,0.0171,0.0139,0.011,0.0103,0.0098,0.0098,2772
2022-01-07,2022-01-05,224,-0.060210258043963,0.023379698135543,0.1822,0.1772,0.1925,0.1734,0.1816,0.156,0.1595,0.1553,0.1558,0.302,0.15,0.1382,1783
2022-01-12,2022-01-11,225,-0.0932642487046632,0.0354223433242506,0.0812,0.0962,0.1149,0.1049,0.1125,0.0858,0.0846,0.0867,0.0783,0.0727,0.0742,0.0647,28508
2022-01-14,2022-01-11,225,-0.4796747967479675,0.0836120401337792,0.0217,0.029,0.0398,0.0279,0.0328,0.012,0.0136,0.0098,0.0068,0.0017,0.0056,0.0051,28508
2022-01-24,2022-01-20,227,-0.4358974358974359,0.0449293966623876,0.034,0.0412,0.0501,0.0378,0.0412,0.0198,0.0218,0.0147,0.0123,0.024,0.009,0.0076,10674
2022-01-29,2022-01-26,228,-0.512258064516129,-0.0597826086956521,0.0498,0.0513,0.0671,0.0593,0.0523,0.0213,0.0218,0.0191,0.0151,0.0151,0.014,0.0129,6142
2022-02-11,2022-02-10,231,-0.4538152610441767,-0.0205761316872428,0.0259,0.0307,0.0469,0.0373,0.0359,0.0172,0.0177,0.014,0.0125,0.0128,0.0083,0.0076,10557
2022-02-16,2022-02-16,232,-0.5458515283842795,-0.0593607305936073,0.0183,0.0293,0.0425,0.0348,0.031,0.0117,0.0139,0.0103,0.0081,0.0021,0.0053,0.0049,1793
2022-02-18,2022-02-16,232,-0.5499021526418787,-0.0729729729729729,0.0286,0.0312,0.0469,0.0395,0.0339,0.0128,0.0135,0.0115,0.0096,0.0073,0.0076,0.007,1793
2022-03-03,2022-03-03,235,-0.6286266924564796,-0.081081081081081,0.0252,0.0329,0.0523,0.0426,0.0362,0.0118,0.0125,0.0098,0.0078,0.0037,0.0054,0.005,3077
2022-03-05,2022-03-03,235,-0.6448202959830867,-0.0147651006711408,0.0252,0.0365,0.0508,0.0379,0.0368,0.0107,0.0131,0.0082,0.0058,0.0,0.0047,0.0046,3077
2022-03-18,2022-03-16,238,-0.5398496240601504,-0.0396902226524685,0.0534,0.0591,0.0755,0.0549,0.0524,0.0321,0.0355,0.0164,0.0303,0.0548,0.026,0.0222,614
2022-04-02,2022-04-01,241,-0.5842696629213483,-0.0784508440913604,0.0264,0.0342,0.0572,0.0553,0.0474,0.0172,0.0179,0.0146,0.0111,0.0042,0.0057,0.0053,1436
2022-04-14,2022-04-13,243,-0.5334821428571428,-0.0731331793687451,0.0362,0.0471,0.0636,0.0688,0.0594,0.0239,0.0248,0.0209,0.0153,0.0063,0.0076,0.0073,3083
